id,code,area,subarea,title,subtitle,authors,edition,volume,language,status
5567311197737,CMP-03.11,Computação,Análise Numérica,Cálculo Numérico,,"Barroso, Barroso, Campos, Carvalho, Maia",1,0,Português,disponível
5588472432833,CMP-02.04,Computação,Algoritmos e Estruturas de Dados,Desenvolvimento de Algoritmos e Complexidade de Computação,,Routo Terada,1,0,Português,disponível
5599583154958,FIS-06.03,Física,Física Matemática,Introdução à Física Estatística,,Silvio R. A. Salinas,1,0,Português,disponível
5615970435407,MAT-01.09 v.1,Matemática,Cálculo,Cálculo,Um Curso Universitário,Edwin E. Moise,1,1,Português,disponível
5631037433179,MAT-06.05,Matemática,Topologia e Geometria,Introdução às Curvas Algébricas Planas,,Israel Vainsencher,1,0,Português,disponível
5645449800382,CMP-07.05,Computação,Sistemas e Redes,Introdução à Supercomputação,"Coleção ""A Era da Informática: Estudos Avançados""","Almeida, Árabe",1,0,Português,disponível
5681214267103,BIO-02.01,Biologia,Biologia Molecular e Celular,Molecular Biology of the Cell,,"Alberts, Bray, Lewis, Raff, Roberts, Watson",2,0,Inglês,disponível
5721722254353,CMP-02.04,Computação,Algoritmos e Estruturas de Dados,Desenvolvimento de Algoritmos e Complexidade de Computação,,Routo Terada,1,0,Português,disponível
5739177673339,VAR-03.11,Variados,Interdisciplinares,"Matemática para os Cursos de Economia, Administração e Ciências Contábeis",,Medeiros da Silva,3,1,Português,disponível
5769614822044,MAT-04.06 v.1,Matemática,Análise,Curso de Análise,,Elon Lages Lima,9,1,Português,emprestado
5778168934677,VAR-01.02,Variados,Divulgação Científica,Sobre as Leis da Física,,Richard Feynman,1,0,Português,disponível
5789908511096,CMP-01.02,Computação,Fundamentos de Computação,Structure and Interpretation of Computer Programs,,"Harold Abelson, Gerald Jay Sussman, Julie Sussman",1,0,Inglês,disponível
5813409154596,CMP-04.07,Computação,Probabilidade e Estatística,Manual de la Teoria de Probabilidades y Estadistica Matemática,,Academia de Ciencias de la RSS de Ucrania,1,0,Espanhol,disponível
5832408329613,MAT-06.07,Matemática,Topologia e Geometria,Poliedros,,Alcyr Pinheiro Rangel,1,0,Português,disponível
5841907561639,VAR-04.01,Variados,Literatura,Dicionário de Provérbios,"Francês, Português, Inglês","Lacerda, Lacerda, Abreu",1,0,Outro,disponível
5855498961013,MAT-05.10 v.3,Matemática,Álgebra Abstrata,Teoria dos Corpos Comutativos,Corpos Ordenados e Teoria das Avaliações,Jean A. Dieudonné,1,3,Português,disponível
5857261061852,QUI-02.03,Química,Fisico-Química,Fundamentos de Termodinâmica e Cinética Química,,Edward de Souza,1,0,Português,disponível
5885755987548,MAT-05.13,Matemática,Álgebra Abstrata,Elliptic Integrals,,Harris Hancock,1,0,Inglês,disponível
5896596428091,MAT-01.29,Matemática,Cálculo,Tensor Calculus,,Barry Spain,3,0,Inglês,disponível
5899561036192,CMP-04.13 v.1,Computação,Probabilidade e Estatística,Exercícios de Estatística,,Victor Mirshawka,1,1,Português,disponível
5914691090040,VAR-03.01,Variados,Interdisciplinares,Lattice Gas Methods For Partial Differential Equations,A Proceedings Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Gary Doolen,1,4,Inglês,disponível
5970053764257,MAT-04.09,Matemática,Análise,Análise I,,Djairo G. de Figueiredo,1,0,Português,disponível
5974016107594,CMP-03.10,Computação,Análise Numérica,Noções Básicas de Cálculo Numérico,,"Humes, Melo, Yoshida, Martins",1,0,Português,disponível
5986236197569,BIO-04.02,Biologia,Biologia de Sistemas,Cem Bilhões de Neurônios,Conceitos Fundamentais de Neurociência,Roberto Lent,1,0,Português,disponível
5989277792649,FIS-05.04,Física,Física Moderna,Exploring Black Holes,Introduction to General Relativity,"Taylor, Wheeler",1,0,Inglês,disponível
5993828668000,MAT-01.02,Matemática,Cálculo,Calculus,Cálculo Infinitesimal,Michael Spivak,2,0,Espanhol,disponível
6040245525221,MAT-01.02,Matemática,Cálculo,Calculus,Cálculo Infinitesimal,Michael Spivak,2,0,Espanhol,disponível
6044911967742,MAT-02.09,Matemática,Geometria Analítica,"Matrizes, Vetores, Geometria Analítica",,"Caroli, Callioli, Feitosa",8,0,Português,disponível
6076027487302,VAR-03.01,Variados,Interdisciplinares,1989 Lectures In The Sciences Of Complex Systems,A Lectures Volume in the Santa Fe Institute Studies in the Sciences of Complexity,Erica Jen,1,2,Inglês,disponível
6093988864614,FIS-05.06,Física,Física Moderna,Física Atómica,,Max Born,4,0,Português,disponível
6123243860508,MAT-05.09,Matemática,Álgebra Abstrata,Álgebras de Lie e Álgebra Associativas,,Roberto C. F. Costa,1,0,Português,disponível
6129612556591,FIS-01.04 v.2,Física,Física Geral,Physique Théorique,Théorie du Champ,"Landau, Lifshitz",1,2,Outro,disponível
6132782344523,MAT-03.06,Matemática,Álgebra Linear,Álgebra Linear,,Seymour Lipschutz,3,0,Português,disponível
6162610895668,QUI-04.03 v.1,Química,Química Orgânica,Química Orgânica,,John McMurry,7,1,Português,disponível
6178936680147,QUI-02.02,Química,Fisico-Química,Physical Chemistry,A Molecular Approach,"McQuarrie, Simon",1,0,Inglês,disponível
6221494006352,FIS-01.02 v.1,Física,Física Geral,Curso de Física Básica,Mecânica,H. Moysés Nussenzveig,1,1,Português,disponível
6256507775581,MAT-01.06,Matemática,Cálculo,A First Course in Calculus,,Serge Lang,5,0,Inglês,disponível
6258947698512,QUI-02.01 v.1,Química,Fisico-Química,Físico-Química,,"Atkins, de Paula",10,1,Português,disponível
6261449917180,QUI-05.01 v.2,Química,Química Experimental,Química Analítica Quantitativa,,Otto A. Ohlweiler,3,2,Português,disponível
6269099794021,BIO-01.03,Biologia,Bioquímica,Bioquimíca,,Mary K. Campbell,3,0,Português,disponível
