id,code,area,subarea,title,subtitle,authors,edition,volume,language,is_reserved
3688807122315,MAT-01.03 v.1,Matemática,1,Um Curso de Cálculo,,Hamilton Luiz Guidorizzi,4,1,1,
2407104271158,MAT-01.04 v.1,Matemática,1,Introdução ao Cálculo,,Paulo Boulos,1,1,1,
1651034645003,MAT-01.04 v.2,Matemática,1,Introdução ao Cálculo,,Paulo Boulos,1,2,1,
9327571632074,MAT-01.04 v.3,Matemática,1,Introdução ao Cálculo,,Paulo Boulos,1,3,1,
2647451882373,MAT-01.05 v.2,Matemática,1,Cálculo,,Serge Lang,1,2,1,
3069110660242,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
4579361211968,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
9801614561410,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
6256507775581,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
8035457219226,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
7303013682441,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
3704174860367,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
1482297689295,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,
5188094271133,MAT-01.07,Matemática,1,Calculus of Several Variables,,Serge Lang,3,0,2,
3297743049756,MAT-01.07,Matemática,1,Calculus of Several Variables,,Serge Lang,3,0,2,
3169415374322,MAT-01.07,Matemática,1,Calculus of Several Variables,,Serge Lang,3,0,2,
9618476862940,MAT-01.07,Matemática,1,Calculus of Several Variables,,Serge Lang,3,0,2,
3843617048990,MAT-01.08 v.1,Matemática,1,Cálculo,,James Stewart,5,1,1,
6935723739514,MAT-01.08 v.1,Matemática,1,Cálculo,,James Stewart,5,1,1,
5615970435407,MAT-01.09 v.1,Matemática,1,Cálculo,Um Curso Universitário,Edwin E. Moise,1,1,1,
3723457522464,MAT-01.09 v.2,Matemática,1,Cálculo,Um Curso Universitário,Edwin E. Moise,1,2,1,
1155192615767,MAT-01.10 v.1,Matemática,1,O Cálculo com Geometria Analítica,,Louis Leithold,3,1,1,
7830794727585,MAT-01.10 v.1,Matemática,1,O Cálculo com Geometria Analítica,,Louis Leithold,3,1,1,
1217434752606,MAT-01.10 v.1,Matemática,1,O Cálculo com Geometria Analítica,,Louis Leithold,2,1,1,
6548567728615,MAT-01.10 v.2,Matemática,1,O Cálculo com Geometria Analítica,,Louis Leithold,2,2,1,
8995699669336,MAT-01.11 v.2,Matemática,1,Cálculo com Geometria Analítica,,"Edwards, Penney",4,2,1,
2493762133570,MAT-01.11 v.3,Matemática,1,Cálculo com Geometria Analítica,,"Edwards, Penney",4,3,1,
4276741894253,MAT-01.12 v.1,Matemática,1,Cálculo com Geometria Analítica,,George F. Simmons,1,1,1,
2112436778670,MAT-01.02,Matemática,1,Calculus,,Michael Spivak,2,0,2,0
4478252960780,MAT-01.02,Matemática,1,Calculus,,Michael Spivak,2,0,2,0
1138771019231,MAT-01.06,Matemática,1,A First Course in Calculus,,Serge Lang,5,0,2,0
2097916741484,MAT-01.12 v.1,Matemática,1,Cálculo com Geometria Analítica,,George F. Simmons,1,1,1,0
5136389647873,MAT-01.12 v.1,Matemática,1,Cálculo com Geometria Analítica,,George F. Simmons,1,1,1,0
5180966338494,MAT-01.12 v.2,Matemática,1,Cálculo com Geometria Analítica,,George F. Simmons,1,2,1,0
4912212304356,MAT-01.12 v.2,Matemática,1,Cálculo com Geometria Analítica,,George F. Simmons,1,2,1,0
2373192710124,MAT-01.13 v.1,Matemática,1,Cálculo,,George B. Thomas Jr,1,1,1,0
9710181693441,MAT-01.13 v.2,Matemática,1,Cálculo,,George B. Thomas Jr,1,2,1,0
9502792276911,MAT-01.13 v.2,Matemática,1,Cálculo,,George B. Thomas,10,2,1,0
2330172058690,MAT-01.14,Matemática,1,Calculo diferencial e integral,,"Thomas, Finney",1,0,1,0
8021178602461,MAT-01.15,Matemática,1,Calculus,,"Smith, Salkover, Justice",1,0,2,0
3647501197289,MAT-01.16,Matemática,1,Cálculo Integral Avançado,,"Bouchara, Carrara, Hellmeister, Salvitti",2,0,1,0
6461871801716,MAT-01.17,Matemática,1,Cálculo,Funções de Uma e Várias Variáveis,"Morettin, Hazzan, Bussab",1,0,1,0
8927485372922,MAT-01.18,Matemática,1,Elementos de Cálculo Diferencial e Integral,,"Granville, Smith, Longley",1,0,1,0
4951640118142,MAT-01.19,Matemática,1,Cálculo em Uma Variável Real,,Plácido Z. Táboas,1,0,1,0
3843524876174,MAT-01.20 v.2,Matemática,1,Cálculo Diferencial e Integral,,N. Piskounov,1,2,1,0
9829419285201,MAT-01.21 v.2,Matemática,1,Cálculo,Funções de Uma Variável,Geraldo S. S. Ávila,4,2,1,0
4328265965886,MAT-01.22,Matemática,1,Cálculo,"Funções de Várias Variáveis, Campos Vetoriais, Séries e Equações Diferenciais",João A. B. Filho,1,0,1,0
3627534574264,MAT-01.23 v.2,Matemática,1,Cálculo e Geometria Analítica,,Al Shenk,2,2,1,0
8680143287425,MAT-01.24,Matemática,1,Cálculo Técnico,,"Ewen, Topper",1,0,2,0
6616767891290,MAT-01.25 v.1,Matemática,1,Cálculo Avançado,,Wilfred Kaplan,1,1,1,0
8047115364025,MAT-01.26 v.1,Matemática,1,Cálculo e Álgebra Linear,,"Kaplan, Lewis",1,1,1,0
1746378915711,MAT-01.27,Matemática,1,Theory and Problems of Advanced Calculus,,Murray R. Spiegel,1,0,2,0
5207683211388,MAT-01.28 v.3,Matemática,1,Fórmula Matemática,Funções Especiais,Ueda Keikyu,1,3,4,0
1490966893829,MAT-01.28 v.1,Matemática,1,Fórmula Matemática,Cálculo Diferencial e Curvas Planas,Ueda Keikyu,1,1,4,0
9508152648503,MAT-01.28 v.2,Matemática,1,Fórmula Matemática,Análise de Séries e Fourier,Ueda Keikyu,1,2,4,0
5896596428091,MAT-01.29,Matemática,1,Tensor Calculus,,Barry Spain,3,0,2,0
8233413319793,MAT-02.01,Matemática,2,Geometria Analitica,,"Reis, Silva",1,0,1,0
9854768069363,MAT-02.02,Matemática,2,Geometria Analítica,,"Steinbruch, Winterle",2,0,1,0
9731178800192,MAT-02.02,Matemática,2,Geometria Analítica,,"Steinbruch, Winterle",2,0,1,0
8794631798451,MAT-02.03,Matemática,2,Exercícios de Geometria Analítica,,Miguel O. Feitosa,3,0,1,0
3972317787875,MAT-02.04,Matemática,2,Geometria Analítica,Um Tratamento Vetorial,"Oliveira, Boulos",2,0,1,0
3049745619082,MAT-02.04,Matemática,2,Geometria Analítica,"Um Tratamento Vetorial, Edição Preliminar","Oliveira, Boulos",4,0,1,0
9779627021019,MAT-02.05,Matemática,2,Exercícios Resolvidos de Geometria Analítica,,"Boulos, Boulos",1,0,1,0
6747825671704,MAT-02.06,Matemática,2,Geometria Analítica Plana,,"Steinbruch, Basso",1,0,1,0
1236333357422,MAT-02.07,Matemática,2,Geometria Analítica,,Charles H. Lehmann,3,0,1,0
7487168001712,MAT-02.08,Matemática,2,Elementos de Geometria Analítica,,Roberto B. Lima,4,0,1,0
6044911967742,MAT-02.09,Matemática,2,"Matrizes, Vetores, Geometria Analítica",,"Caroli, Callioli, Feitosa",8,0,1,0
7656594998174,MAT-02.10,Matemática,2,Matrizes e Sistemas Lineares,,"Caroli, Callioli, Feitosa",1,0,1,0
4461991626680,MAT-02.11,Matemática,2,Geometria Analítica,,David C. Murdoch,2,0,1,0
4759346147554,MAT-02.12,Matemática,2,Introdução à Álgebra das Matrizes,,School Mathematics Study Gorup,1,0,1,0
2529204739410,MAT-02.13,Matemática,2,"Somatórios, Produtórios, Matrizes, Determinantes e Sistemas Lineares",,"Castrucci, Donatto, Perrella",2,0,1,0
7516747321610,MAT-03.01,Matemática,3,Álgebra Linear,,Elon Lages Lima,2,0,1,0
9153428752936,MAT-03.01,Matemática,3,Álgebra Linear,,Elon Lages Lima,8,0,1,0
8728011147454,MAT-03.01,Matemática,3,Álgebra Linear,,Elon Lages Lima,8,0,1,0
4905928890688,MAT-03.02,Matemática,3,Álgebra Linear,,"Boldrini, Costa, Figueiredo, Wetzler",3,0,1,0
7629032979752,MAT-03.03,Matemática,3,Um Curso de Álgebra Linear,,"Coelho, Lourenço",2,0,1,0
8732080430935,MAT-03.04,Matemática,3,Linear Algebra,,Serge Lang,3,0,2,0
2575868548844,MAT-03.04,Matemática,3,Linear Algebra,,Serge Lang,3,0,2,0
3227096837090,MAT-03.04,Matemática,3,Linear Algebra,,Serge Lang,3,0,2,0
6310437998387,MAT-03.04,Matemática,3,Álgebra Linear,,Serge Lang,1,0,1,0
4195229767981,MAT-03.05,Matemática,3,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,1,0
1772432916141,MAT-03.05,Matemática,3,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,1,0
5202211770061,MAT-03.05,Matemática,3,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,1,0
3882409724087,MAT-03.05,Matemática,3,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,1,0
5084635916726,MAT-03.05,Matemática,3,Álgebra Linear e Geometria Eucliana,,Alexandre A. M. Rodrigues,5,0,1,0
3975036274558,MAT-03.06,Matemática,3,Álgebra Linear,,Seymour Lipschutz,3,0,1,0
6132782344523,MAT-03.06,Matemática,3,Álgebra Linear,,Seymour Lipschutz,3,0,1,0
3403984845242,MAT-03.07,Matemática,3,Álgebra Linear e suas Aplicações,,David C. Lay,2,0,1,0
5122532691459,MAT-03.08,Matemática,3,Álgebra Linear com Aplicações,,Steven J. Leon,4,0,1,0
4441502277228,MAT-03.09,Matemática,3,Álgebra Linear e Aplicações,,"Callioli, Domingues, Costa",4,0,1,0
5543412205489,MAT-03.10,Matemática,3,Algebra Vetorial e Geometria,,"Medeiros, Andrade, Wanderley",1,0,1,0
4871261788572,MAT-03.11,Matemática,3,Álgebra Linear,,"Steinbruch, Winterle",2,0,1,0
2123036443295,MAT-03.12,Matemática,3,Álgebra Linear,,Mário B. Junior,3,0,1,0
7586782589788,MAT-03.13,Matemática,3,Fundamentos de Algebra Lineal,,A. I. Máltsev,1,0,3,0
1445024834214,MAT-03.14,Matemática,3,Álgebra Linear: Exercícios,,"Barreira, Valls",1,0,1,0
7449380007569,MAT-04.01,Matemática,4,Análisis Matemático,,Tom M. Apostol,1,0,3,0
8309214914434,MAT-04.02,Matemática,4,Análisis Matemático,Modern Mathematical Analysis,"Protter, Morrey Jr.",1,0,2,0
7641926689639,MAT-04.03,Matemática,4,Elementary Analysis,The Theory of Calculus,Kenneth A. Ross,1,0,2,0
9201855684778,MAT-04.03,Matemática,4,Elementary Analysis,The Theory of Calculus,Kenneth A. Ross,1,0,2,0
7383295902932,MAT-04.03,Matemática,4,Elementary Analysis,The Theory of Calculus,Kenneth A. Ross,1,0,2,0
4634038779247,MAT-04.04,Matemática,4,Real Analysis,,"Haaser, Sullivan",1,0,2,0
8183511348242,MAT-04.05,Matemática,4,Theory of Functions,Parts I and II,Konrad Knopp,1,0,1,0
5769614822044,MAT-04.06 v.1,Matemática,4,Curso de Análise,,Elon Lages Lima,9,1,1,0
2863425256289,MAT-04.07,Matemática,4,Análise no Espaço Rn,,Elon Lages Lima,2,0,1,0
6522186501576,MAT-04.07,Matemática,4,Análise no Espaço Rn,,Elon Lages Lima,2,0,1,0
4354423190081,MAT-04.07,Matemática,4,Análise no Espaço Rn,,Elon Lages Lima,2,0,1,0
2762459268230,MAT-04.07,Matemática,4,Análise no Espaço Rn,,Elon Lages Lima,2,0,1,0
4938963273680,MAT-04.07,Matemática,4,Análise no Espaço Rn,,Elon Lages Lima,1,0,1,0
3964505489951,MAT-04.08,Matemática,4,Problemas y Ejercicios de Analisis Matematico,,B. Demidovitch,1,0,3,0
2298036393717,MAT-04.08,Matemática,4,Problemas y Ejercicios de Analisis Matematico,,B. Demidovitch,5,0,3,0
1587087844103,MAT-04.08,Matemática,4,Problemas e Exercícios de Análise Matemática,,B. Demidovitch,6,0,1,0
5970053764257,MAT-04.09,Matemática,4,Análise I,,Djairo G. de Figueiredo,1,0,1,0
3446605606570,MAT-04.10,Matemática,4,Análise Vetorial,,Murray R. Spiegel,1,0,1,0
2212011226180,MAT-04.10,Matemática,4,Análise Vetorial,,Murray R. Spiegel,1,0,1,0
7665689615551,MAT-04.11,Matemática,4,A Integral de Lebesgue,,"Medeiros, Mello",1,0,1,0
3060573140289,MAT-04.12,Matemática,4,Lezioni sulla Teoria Moderna dell'Integrazione,,"Picone, Viola",1,0,4,0
1719266720926,MAT-04.13,Matemática,4,Espaços Métricos,,Elon Lages Lima,1,0,1,0
8299977563539,MAT-04.13,Matemática,4,Espaços Métricos,,Elon Lages Lima,1,0,1,0
7117519831254,MAT-04.14 v.1,Matemática,4,Nociones de espacios normados,,"Cotlar, Cignoli",1,1,3,0
2819509453105,MAT-04.14 v.2,Matemática,4,Nociones de espacios normados,,"Cotlar, Cignoli",1,2,3,0
5309813038527,MAT-04.15,Matemática,4,Espaços Métricos,,Ernesto Rosa Neto,1,0,1,0
4839164316360,MAT-04.16,Matemática,4,Introducción al Análisis Matricial,Un estudio de la Moderna Teoria de Matrices,Richard Bellman,1,0,3,0
7639281654898,MAT-04.17,Matemática,4,Introductory Functional Analysis with Applications,,Erwin Kreyszig,1,0,2,0
6458371105109,MAT-04.18,Matemática,4,Non-Deterministic Analysis and Applications,,Rubens G. Lintz,1,0,2,0
1279374872424,MAT-05.01,Matemática,5,Álgebra,Um Curso de Introdução,"Garcia, Lequain",1,0,1,0
3279807759993,MAT-05.02,Matemática,5,Elementos de Álgebra,,L. H. Jacy Monteiro,1,0,1,0
7613112922035,MAT-05.03,Matemática,5,Fundamental Structures of Algebra,,"Mostow, Sampson, Meyer",1,0,2,0
2621355537072,MAT-05.04,Matemática,5,Fundamental Concepts of Algebra,,Claude Chevalley,1,0,2,0
5443455735069,MAT-05.05,Matemática,5,Algebraic Functions,,Gilbert A. Bliss,1,0,2,0
7360333225178,MAT-05.06,Matemática,5,Álgebra Moderna Básica,,"Birkohff, Mac-Lane",4,0,1,0
7685049134461,MAT-05.06,Matemática,5,Álgebra Moderna,,"Birkohff, Mac-Lane",4,0,3,0
7223665595169,MAT-05.07,Matemática,5,Introdução à Teoria dos Grupos e à Teoria de Galois,,Paulo A. Martin,1,0,1,0
4892721523564,MAT-05.08 v. 1,Matemática,5,Módulos de Tipo Finito Sobre um Anel Principal,,Antônio Kumpera,1,1,1,0
6123243860508,MAT-05.09,Matemática,5,Álgebras de Lie e Álgebra Associativas,,Roberto C. F. Costa,1,0,1,0
5855498961013,MAT-05.10 v.3,Matemática,5,Teoria dos Corpos Comutativos,Corpos Ordenados e Teoria das Avaliações,Jean A. Dieudonné,1,3,1,0
1292849817362,MAT-05.11,Matemática,5,Tópicos em Teoria dos Grupos Finitos,,"Maier, Ho, Gonçalves, Pomareda",1,0,1,0
5094956988494,MAT-05.12,Matemática,5,Théorie des Équations Algébriques,,Julius Petersen,1,0,4,0
5885755987548,MAT-05.13,Matemática,5,Elliptic Integrals,,Harris Hancock,1,0,2,0
3750361855487,MAT-05.14,Matemática,5,Algebraic Number Theory,,Edwin Weiss,1,0,2,0
8442513051742,MAT-06.01,Matemática,6,Topology,An introduction to the set-theoretic and homotopy methods in general topology,James Dugundji,1,0,2,0
9718934186578,MAT-06.02,Matemática,6,Theory and Problems of General Topology,,Seymour Lipschutz,1,0,2,0
3244346131166,MAT-06.03,Matemática,6,Cálculo en Variedades,,Michael Spivak,1,0,1,0
2238837696938,MAT-06.04,Matemática,6,Geometria Riemanniana,,Manfredo P. do Carmo,1,0,1,0
3607958879688,MAT-07.01,Matemática,7,Axiomatic Set Theory ,,Patrick Suppes,1,0,2,0
3476068578916,MAT-07.02,Matemática,7,Teoria dos Conjuntos,Um mínimo,Francisco Miraglia,1,0,1,0
1128721005575,MAT-07.03,Matemática,7,Elementos de Teoria dos Conjuntos ,,Benedito Castrucci,1,0,1,0
3952153883948,MAT-07.04,Matemática,7,Teoria Elementar dos Conjuntos,,Edgard de Alencar Filho,11,0,1,0
5147534992502,MAT-07.05,Matemática,7,Fundamentos de la Teoria de los Numeros,,I. Vinográdov,1,0,3,0
3652775944552,MAT-07.06,Matemática,7,Números Primos,Mistérios e Recordes,Paulo Ribenboim,1,0,1,0
6967482062602,MAT-07.07,Matemática,7,Funções Aritméticas Números Notáveis,,Edgard De Alencar Filho,1,0,1,0
